City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Carreno,CO,2022-06-03 21:08:51,6.189,-67.4859,79.11,77,100,3.0
1,Vaini,TO,2022-06-03 21:05:07,-21.2,-175.2,77.54,79,0,5.35
2,Mataura,NZ,2022-06-03 21:08:51,-46.1927,168.8643,37.47,95,47,2.86
3,Margate,GB,2022-06-03 21:08:52,51.3813,1.3862,58.69,85,95,5.99
4,Puerto Ayora,EC,2022-06-03 21:07:24,-0.7393,-90.3518,78.76,92,98,8.01
5,Touros,BR,2022-06-03 21:08:52,-5.1989,-35.4608,78.19,82,100,7.45
6,Kruisfontein,ZA,2022-06-03 21:08:52,-34.0033,24.7314,55.51,28,2,6.6
7,Great Yarmouth,GB,2022-06-03 21:08:53,52.6083,1.7305,56.44,82,15,19.93
8,Camacha,PT,2022-06-03 21:08:53,33.0833,-16.3333,63.82,72,40,11.5
9,Khatanga,RU,2022-06-03 21:08:54,71.9667,102.5,33.22,90,100,21.27
10,Albany,US,2022-06-03 21:06:31,42.6001,-73.9662,78.58,42,2,1.01
11,Hilo,US,2022-06-03 21:04:44,19.7297,-155.09,90.28,79,100,6.91
12,Yellowknife,CA,2022-06-03 21:08:54,62.456,-114.3525,62.56,39,17,15.01
13,Torrington,US,2022-06-03 21:08:54,41.8007,-73.1212,81.14,54,61,1.99
14,Kirakira,SB,2022-06-03 21:08:55,-10.4544,161.9205,81.77,79,100,9.22
15,Butaritari,KI,2022-06-03 21:08:55,3.0707,172.7902,80.47,76,35,6.82
16,Hirson,FR,2022-06-03 21:08:55,49.9226,4.0826,64.42,90,100,6.91
17,Sorong,ID,2022-06-03 21:08:56,-0.8833,131.25,79.59,82,54,7.67
18,Kapaa,US,2022-06-03 21:06:27,22.0752,-159.319,82.11,72,0,11.5
19,Ushuaia,AR,2022-06-03 21:00:23,-54.8,-68.3,35.76,84,100,12.37
20,Sao Francisco,BR,2022-06-03 21:06:50,-15.9486,-44.8644,78.76,31,98,4.23
21,Qaanaaq,GL,2022-06-03 21:08:56,77.484,-69.3632,27.16,69,96,3.98
22,Saint-Pierre,RE,2022-06-03 21:08:57,-21.3393,55.4781,73.08,68,0,19.57
23,Shimoda,JP,2022-06-03 21:08:57,34.6667,138.95,66.07,80,91,12.24
24,Port Alfred,ZA,2022-06-03 21:08:57,-33.5906,26.891,64.4,32,45,9.66
25,Lavrentiya,RU,2022-06-03 21:08:58,65.5833,-171.0,46.67,61,74,7.09
26,Three Hills,CA,2022-06-03 21:08:58,51.7001,-113.2686,68.85,23,93,15.88
27,Naruja,GE,2022-06-03 21:08:58,41.9069,41.9542,68.32,84,46,4.65
28,Kahului,US,2022-06-03 21:08:59,20.8947,-156.47,84.22,64,40,20.71
29,Busselton,AU,2022-06-03 21:05:05,-33.65,115.3333,56.28,64,88,8.32
30,Norman Wells,CA,2022-06-03 21:06:21,65.282,-126.8329,56.73,55,99,17.27
31,Vanimo,PG,2022-06-03 21:08:59,-2.6741,141.3028,77.65,88,100,4.99
32,Aklavik,CA,2022-06-03 21:06:24,68.2191,-135.0107,37.31,64,98,16.33
33,Sao Joao Da Barra,BR,2022-06-03 21:05:09,-21.6403,-41.0511,73.49,77,82,16.26
34,Bredasdorp,ZA,2022-06-03 21:06:20,-34.5322,20.0403,51.12,87,86,4.36
35,Bambous Virieux,MU,2022-06-03 21:05:06,-20.3428,57.7575,74.21,73,73,17.92
36,Atuona,PF,2022-06-03 21:09:00,-9.8,-139.0333,76.5,81,19,12.39
37,Betanzos,ES,2022-06-03 21:09:00,43.2804,-8.2147,63.5,87,75,2.3
38,Cherskiy,RU,2022-06-03 21:09:01,68.75,161.3,36.48,56,48,11.14
39,Umm Lajj,SA,2022-06-03 21:09:01,25.0213,37.2685,85.48,45,19,8.63
40,Matara,LK,2022-06-03 21:09:02,5.9485,80.5353,77.99,88,100,13.42
41,Ahuimanu,US,2022-06-03 21:09:02,21.4447,-157.8378,83.91,61,0,13.8
42,Shintomi,JP,2022-06-03 21:09:02,32.0785,131.4723,65.97,89,40,3.06
43,Oum Hadjer,TD,2022-06-03 21:09:03,13.2954,19.6966,94.37,25,96,2.66
44,Hermanus,ZA,2022-06-03 21:05:10,-34.4187,19.2345,56.14,81,47,3.91
45,Cabo San Lucas,MX,2022-06-03 21:05:37,22.8909,-109.9124,86.31,42,0,6.91
46,Luderitz,NA,2022-06-03 21:10:03,-26.6481,15.1594,65.93,28,0,6.15
47,San Quintin,MX,2022-06-03 21:10:04,30.4833,-115.95,67.03,67,8,11.86
48,New Norfolk,AU,2022-06-03 21:05:19,-42.7826,147.0587,47.7,87,72,3.53
49,Norden,DE,2022-06-03 21:10:04,53.6,7.2,53.94,82,100,16.08
50,Andros Town,BS,2022-06-03 21:10:04,24.7,-77.7667,80.56,72,100,15.46
51,Kindu,CD,2022-06-03 21:10:05,-2.95,25.95,71.29,81,47,2.26
52,Ginda,IN,2022-06-03 21:10:05,30.6945,78.4932,62.58,23,0,8.46
53,Ponta Do Sol,PT,2022-06-03 21:10:06,32.6667,-17.1,66.83,74,50,5.1
54,Mitsamiouli,KM,2022-06-03 21:10:06,-11.3847,43.2844,78.66,72,21,3.51
55,San Luis,AR,2022-06-03 21:10:06,-33.295,-66.3356,51.62,47,98,10.51
