City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dossor,KZ,47.5272,52.9811,79.81,18,86,8.32,overcast clouds
80,Barao De Melgaco,BR,-16.1944,-55.9675,76.46,37,7,2.86,clear sky
81,Ugoofaaru,MV,5.6667,73.0,81.72,78,74,12.86,broken clouds
82,Utiel,ES,39.5667,-1.2,63.72,45,40,2.55,scattered clouds
83,Grindavik,IS,63.8424,-22.4338,46.35,70,75,6.91,broken clouds
84,Port Alfred,ZA,-33.5906,26.891,57.18,88,10,14.58,clear sky
85,Yalta,UA,44.5,34.1667,69.35,71,12,3.51,few clouds
86,East London,ZA,-33.0153,27.9116,61.12,76,32,10.49,scattered clouds
87,Bayan,CN,46.0833,127.4,48.87,93,100,13.69,overcast clouds
88,Enshi,CN,30.3,109.4833,69.85,94,100,1.41,overcast clouds
89,Thompson,CA,55.7435,-97.8558,64.56,45,75,12.66,broken clouds
90,Hami,CN,42.8,93.45,72.95,22,0,13.94,clear sky
91,Furstenwalde,DE,52.3667,14.0667,71.91,66,98,8.79,light rain
92,Labuhan,ID,-6.8844,112.2051,78.87,87,89,7.34,overcast clouds
93,Upernavik,GL,72.7868,-56.1549,30.65,77,0,9.75,clear sky
94,Broome,US,42.2506,-75.833,72.81,37,0,3.44,clear sky
95,Dikson,RU,73.5069,80.5464,30.61,94,100,9.48,light snow
96,Xinyu,CN,27.8043,114.9334,77.49,90,73,1.72,broken clouds
97,Mount Isa,AU,-20.7333,139.5,64.17,55,100,10.36,overcast clouds
98,Auki,SB,-8.7676,160.7034,83.1,71,98,5.21,overcast clouds
99,Inongo,CD,-1.95,18.2667,71.19,74,87,3.27,overcast clouds
100,Mount Gambier,AU,-37.8333,140.7667,44.51,87,75,9.22,light intensity shower rain
101,Bethel,US,41.3712,-73.414,73.49,42,0,5.75,clear sky
102,Yulara,AU,-25.2406,130.9889,52.93,59,49,11.54,scattered clouds
103,Majene,ID,-3.5403,118.9707,79.23,82,29,3.91,scattered clouds
104,Hobart,AU,-42.8794,147.3294,51.66,67,40,14.97,scattered clouds
105,Deputatskiy,RU,69.3,139.9,58.71,58,100,5.79,overcast clouds
106,Kirakira,SB,-10.4544,161.9205,82.89,79,82,12.44,broken clouds
107,Kahului,US,20.8947,-156.47,86.02,51,0,21.85,clear sky
108,Geraldton,AU,-28.7667,114.6,48.61,71,1,17.27,clear sky
109,Avarua,CK,-21.2078,-159.775,82.45,78,15,11.5,few clouds
110,Cuamba,MZ,-14.8031,36.5372,61.39,82,41,7.65,scattered clouds
111,Scarborough,GB,54.2797,-0.4044,50.92,92,100,4.0,overcast clouds
112,Matara,LK,5.9485,80.5353,76.24,91,100,10.36,light rain
113,Longyearbyen,SJ,78.2186,15.6401,42.64,87,75,8.05,broken clouds
114,Qaanaaq,GL,77.484,-69.3632,29.5,78,1,3.38,clear sky
115,Sur,OM,22.5667,59.5289,85.86,53,0,9.04,clear sky
116,Buraydah,SA,26.326,43.975,81.05,8,24,4.99,few clouds
117,Nome,US,64.5011,-165.4064,68.16,36,0,14.97,clear sky
118,Kabompo,ZM,-13.5927,24.2008,54.12,61,3,8.5,clear sky
119,Pontianak,ID,-0.0333,109.3333,73.38,100,75,3.44,broken clouds
120,Winona,US,43.9666,-91.7668,64.98,94,100,5.75,overcast clouds
121,Athabasca,CA,54.7169,-113.2854,70.21,51,96,12.86,overcast clouds
122,Port Keats,AU,-14.25,129.55,85.35,58,55,3.38,broken clouds
123,Hithadhoo,MV,-0.6,73.0833,82.92,69,68,4.99,broken clouds
124,Puerto Ayora,EC,-0.7393,-90.3518,72.55,91,98,5.99,overcast clouds
125,Port Elizabeth,ZA,-33.918,25.5701,55.31,92,0,4.0,clear sky
126,Marzuq,YE,14.4,46.4667,75.96,55,60,5.48,broken clouds
127,Severo-Kurilsk,RU,50.6789,156.125,46.09,80,77,4.76,broken clouds
128,Cidreira,BR,-30.1811,-50.2056,62.38,97,100,8.41,overcast clouds
129,Esna,EG,25.2934,32.554,84.22,18,9,10.11,clear sky
130,Lasa,IT,46.6166,10.7002,59.88,92,80,6.38,broken clouds
131,Marsa Matruh,EG,31.3525,27.2453,73.6,83,0,4.61,clear sky
132,Lebu,CL,-37.6167,-73.65,51.91,91,100,4.81,overcast clouds
133,Bubaque,GW,11.2833,-15.8333,80.51,79,45,10.96,scattered clouds
134,Edd,ER,13.9297,41.6925,88.16,64,100,0.43,overcast clouds
135,Hualmay,PE,-11.0964,-77.6139,65.52,83,92,14.41,overcast clouds
136,Mocajuba,BR,-2.5842,-49.5072,73.22,99,100,2.53,overcast clouds
137,Bealanana,MG,-14.55,48.7333,51.66,97,51,3.51,broken clouds
138,Durban,ZA,-29.8579,31.0292,62.92,96,100,1.99,light rain
139,Kieta,PG,-6.2167,155.6333,83.59,71,93,2.93,overcast clouds
140,Katsuura,JP,35.1333,140.3,63.39,92,100,16.06,light rain
141,Tasiilaq,GL,65.6145,-37.6368,41.16,60,12,3.98,few clouds
142,Ilulissat,GL,69.2167,-51.1,42.82,42,6,19.57,clear sky
143,San Cristobal,VE,7.7669,-72.225,73.58,97,88,2.98,overcast clouds
144,Benxi,CN,41.2886,123.765,59.32,79,80,5.08,broken clouds
145,Nanortalik,GL,60.1432,-45.2371,43.45,75,90,0.92,overcast clouds
146,Hilo,US,19.7297,-155.09,89.28,78,75,9.22,broken clouds
147,Ahuimanu,US,21.4447,-157.8378,85.71,64,100,11.5,overcast clouds
148,Dunedin,NZ,-45.8742,170.5036,56.79,62,1,2.75,clear sky
149,Tazovskiy,RU,67.4667,78.7,34.74,72,100,7.02,overcast clouds
150,Bengkulu,ID,-3.8004,102.2655,77.05,83,100,4.0,overcast clouds
151,Iqaluit,CA,63.7506,-68.5145,53.33,54,0,16.11,clear sky
152,Tura,IN,25.5198,90.2201,73.38,97,51,4.18,heavy intensity rain
153,Sao Filipe,CV,14.8961,-24.4956,75.56,72,2,12.01,clear sky
154,Rutland,US,43.6167,-73.0162,67.98,34,40,6.91,scattered clouds
155,Tamandare,BR,-8.7597,-35.1047,75.24,86,3,7.74,clear sky
156,Frumoasa,RO,46.45,25.85,54.54,97,16,4.09,few clouds
157,Adre,TD,13.4667,22.2,82.53,16,19,6.04,few clouds
158,Victoria,HK,22.2855,114.1577,86.05,86,96,8.99,overcast clouds
159,Mahebourg,MU,-20.4081,57.7,71.89,88,75,9.22,light intensity shower rain
160,Hasaki,JP,35.7333,140.8333,61.2,89,100,12.44,light rain
161,Vilyuysk,RU,63.7553,121.6247,67.77,64,88,8.48,overcast clouds
162,Arraial Do Cabo,BR,-22.9661,-42.0278,69.03,65,9,17.38,clear sky
163,Isangel,VU,-19.55,169.2667,79.03,65,18,7.0,few clouds
164,Kandava,LV,57.0409,22.7747,48.54,90,60,2.93,broken clouds
165,Sept-Iles,CA,50.2001,-66.3821,54.12,67,20,3.44,few clouds
166,Shenjiamen,CN,29.9576,122.298,69.17,86,100,10.18,overcast clouds
167,Orillia,CA,44.6087,-79.4207,70.47,53,97,3.44,overcast clouds
168,Bafq,IR,31.6128,55.4107,76.62,16,0,2.48,clear sky
169,Riviere-Au-Renard,CA,48.9957,-64.3971,50.29,74,98,5.06,overcast clouds
170,Yellowknife,CA,62.456,-114.3525,73.92,27,40,17.27,scattered clouds
171,Piet Retief,ZA,-27.0071,30.8132,49.55,95,64,1.61,light rain
172,Saint George,US,37.1041,-113.5841,97.63,14,0,16.11,clear sky
173,Mandera,KE,3.9366,41.867,78.19,67,89,18.43,overcast clouds
174,Linxia,CN,35.6003,103.2064,62.08,58,99,6.33,overcast clouds
175,Hervey Bay,AU,-25.2986,152.8535,66.02,96,97,11.01,light rain
176,Walvis Bay,NA,-22.9575,14.5053,72.55,23,100,9.22,overcast clouds
177,Outjo,NA,-20.1167,16.15,53.42,42,99,11.68,overcast clouds
178,Akhtubinsk,RU,48.2795,46.1722,74.03,31,99,8.88,overcast clouds
179,Papara,BR,-3.9839,-38.7273,77.4,98,95,3.6,overcast clouds
180,Tsumeb,NA,-19.2333,17.7167,53.44,44,18,10.8,few clouds
181,Usinsk,RU,65.9939,57.5281,48.54,50,32,6.44,scattered clouds
182,Pevek,RU,69.7008,170.3133,33.35,80,48,8.7,scattered clouds
183,Mesyagutovo,RU,55.5303,58.2528,46.29,94,96,3.24,overcast clouds
184,Tateyama,JP,34.9833,139.8667,65.1,91,100,18.81,moderate rain
185,Rio Grande,BR,-32.035,-52.0986,60.91,95,99,3.87,overcast clouds
186,Saint-Philippe,RE,-21.3585,55.7679,69.39,69,57,7.76,broken clouds
187,Rypefjord,NO,70.6333,23.6667,43.27,75,40,5.75,scattered clouds
188,Tczew,PL,54.0924,18.7779,52.9,91,59,3.98,broken clouds
189,Touros,BR,-5.1989,-35.4608,77.34,80,93,12.15,moderate rain
190,Meadow Lake,US,34.8014,-106.5436,91.8,12,81,20.33,broken clouds
191,Nikolskoye,RU,59.7035,30.7861,55.29,91,95,5.79,overcast clouds
192,Belyy Yar,RU,53.6039,91.3903,51.69,76,75,13.42,light intensity shower rain
193,Flin Flon,CA,54.7682,-101.865,57.04,44,40,6.91,scattered clouds
194,Olafsvik,IS,64.8945,-23.7142,42.19,52,84,12.53,broken clouds
195,Bushehr,IR,28.9684,50.8385,87.39,44,26,4.25,scattered clouds
196,Bogandinskiy,RU,56.8937,65.8938,48.52,72,99,2.48,overcast clouds
197,San Rafael,AR,-34.6177,-68.3301,51.42,49,27,4.97,scattered clouds
198,Hirara,JP,24.8,125.2833,84.47,84,75,19.57,broken clouds
199,Cabo San Lucas,MX,22.8909,-109.9124,90.61,42,0,12.66,clear sky
200,Kalmunai,LK,7.4167,81.8167,76.93,84,99,8.61,overcast clouds
201,Vanavara,RU,60.34,102.2797,50.74,56,18,2.48,few clouds
202,Te Anau,NZ,-45.4167,167.7167,50.94,82,27,2.59,scattered clouds
203,Salalah,OM,17.0151,54.0924,84.29,79,75,5.75,broken clouds
204,Sechura,PE,-5.5569,-80.8222,67.57,78,78,15.73,broken clouds
205,Caravelas,BR,-17.7125,-39.2481,69.12,80,64,9.08,broken clouds
206,Bathsheba,BB,13.2167,-59.5167,79.41,94,75,20.71,broken clouds
207,New Norfolk,AU,-42.7826,147.0587,51.3,76,97,8.01,overcast clouds
208,Magadan,RU,59.5667,150.8,63.54,83,78,7.72,broken clouds
209,Torbay,CA,47.6666,-52.7314,50.29,72,75,11.5,broken clouds
210,Hambantota,LK,6.1241,81.1185,77.88,87,94,16.06,light rain
211,Thessalon,CA,46.2501,-83.5666,62.89,89,69,3.24,broken clouds
212,Sikeston,US,36.8767,-89.5879,85.96,35,0,8.05,clear sky
213,Svetlogorsk,BY,52.6333,29.7333,50.79,83,9,3.8,clear sky
214,Mananjary,MG,-21.2167,48.3333,66.36,94,32,6.8,scattered clouds
215,Baykit,RU,61.67,96.37,47.97,61,81,2.62,broken clouds
216,Talnakh,RU,69.4865,88.3972,29.21,72,29,1.66,scattered clouds
217,Imeni Poliny Osipenko,RU,52.4201,136.4853,64.71,52,37,4.09,scattered clouds
218,Orange Cove,US,36.6244,-119.3137,91.6,31,66,14.81,broken clouds
219,Tugulym,RU,57.0591,64.6425,48.33,89,96,4.38,overcast clouds
220,Lensk,RU,60.7253,114.9278,58.82,88,100,1.86,overcast clouds
221,Saint-Augustin,CA,51.226,-58.6502,50.11,77,100,7.29,overcast clouds
222,Moose Factory,CA,51.2585,-80.6094,53.6,100,100,5.75,overcast clouds
223,Port Moresby,PG,-9.4431,147.1797,81.82,78,20,3.44,few clouds
224,San Jose,US,37.3394,-121.895,82.58,62,75,12.66,broken clouds
225,Gorele,TR,41.0308,39.0031,64.58,88,36,6.44,scattered clouds
226,Bathurst,AU,-33.4166,149.5806,42.96,84,87,3.0,light rain
227,Akdepe,TM,42.0551,59.3788,71.69,19,15,9.1,few clouds
228,Richards Bay,ZA,-28.783,32.0377,65.1,75,93,5.59,overcast clouds
229,Muros,ES,42.7762,-9.0603,63.09,80,98,8.68,overcast clouds
